month	2010	2011	2012	2013	2014	2015	2016	2017	2018
01	3721	3506	3719	3572	3586	4101	4178	4518	4539
02	3490	3602	3598	3359	3502	3915	4528	4308	4469
03	3899	3984	4179	3860	3879	4457	4688	5076	4928
04	3670	3657	3738	3739	3700	4217	4730	4680	4690
05	3809	3714	3764	3881	3887	4258	4622	4847	4579
06	3632	3647	3679	3578	3907	4183	4819	4759	4647
07	3758	3846	3686	3646	3839	4312	4672	4808	4921
08	3679	3929	3950	4031	4183	4705	4962	4986	4996
09	3583	3821	3794	3745	4111	4467	4838	4659	4680
10	4047	3998	4023	4127	4291	4813	4922	5282	3971
11	3725	3739	3612	3794	3882	4471	4632	4860	
12	4073	3833	3655	3700	4184	4585	4932	4930	
